date;CRC_ID;observed;predicted_circuit
16/07/2018;7751;44,42;46,12270002
23/07/2018;7751;46,12;45,59453939
30/07/2018;7751;50,66;45,75753205
06/08/2018;7751;47,6;47,27822891
13/08/2018;7751;42;43,85279131
20/08/2018;7751;44,14;46,80332165
27/08/2018;7751;47,5;45,97718573
03/09/2018;7751;50,66;46,44954759
10/09/2018;7751;51,6;47,7555881
17/09/2018;7751;48,32;48,94808649
24/09/2018;7751;50,8;48,7532603
01/10/2018;7751;44,42;45,86289083
08/10/2018;7751;43,32;48,94056822
15/10/2018;7751;55,58;47,19712379
22/10/2018;7751;47,02;49,79740872
29/10/2018;7751;42,84;45,41063633
05/11/2018;7751;46,98;48,13849827
12/11/2018;7751;48,36;47,77914361
19/11/2018;7751;48,02;47,9593195
26/11/2018;7751;47,08;44,45289419
03/12/2018;7751;49,32;45,26779632
10/12/2018;7751;50,66;50,04999745
17/12/2018;7751;47,32;50,23921418
24/12/2018;7751;35,44;45,80845514
31/12/2018;7751;38,88;42,59226334
07/01/2019;7751;44,86;44,96600393
14/01/2019;7751;41,06;44,93312256
21/01/2019;7751;51;43,73171841
28/01/2019;7751;48,44;45,98626717
04/02/2019;7751;46,58;46,74739072
11/02/2019;7751;46,18;46,69546778
18/02/2019;7751;46,78;46,5355748
25/02/2019;7751;45,56;46,61139307
04/03/2019;7751;44,68;46,28526138
11/03/2019;7751;47,96;45,78732525
18/03/2019;7751;46,64;46,46126737
25/03/2019;7751;47,14;46,51670846
01/04/2019;7751;49,06;46,7100473
08/04/2019;7751;48,36;47,43897929
15/04/2019;7751;42,54;40,67417517
22/04/2019;7751;45,4;44,7781833
29/04/2019;7751;42,24;44,97106466
06/05/2019;7751;48,92;47,64916333
13/05/2019;7751;48,26;48,04336424
20/05/2019;7751;51,84;48,1105625
27/05/2019;7751;54,06;49,26739697
03/06/2019;7751;51,9;50,75401482
10/06/2019;7751;43,36;44,05899245
17/06/2019;7751;46;47,36741973
24/06/2019;7751;47,54;50,46850751
01/07/2019;7751;57,1;49,56011357
08/07/2019;7751;50,22;51,89891145
15/07/2019;7751;47,94;51,37812979
22/07/2019;7751;46,9;50,31165608
29/07/2019;7751;47,18;49,25339425
05/08/2019;7751;43,92;48,61024795
12/08/2019;7751;38,58;43,63013183
19/08/2019;7751;42,68;45,58887889
26/08/2019;7751;37,62;44,68657356
02/09/2019;7751;45,94;42,49459263
09/09/2019;7751;46,72;43,56332377
16/09/2019;7751;49,8;44,54249338
23/09/2019;7751;48,3;46,17331971
30/09/2019;7751;47,32;43,30774702
07/10/2019;7751;47,3;48,07755584
14/10/2019;7751;44,88;47,83636574
21/10/2019;7751;48,08;46,91933045
28/10/2019;7751;44,58;43,75411082
04/11/2019;7751;46,82;47,53554124
11/11/2019;7751;45,02;47,53554124
18/11/2019;7751;44,96;47,53554124
25/11/2019;7751;53,32;44,01029344
02/12/2019;7751;44,82;44,01029344
09/12/2019;7751;44,88;47,53554124
16/12/2019;7751;42,88;47,53554124
23/12/2019;7751;33,36;44,01029344
30/12/2019;7751;36,08;44,01029344
06/01/2020;7751;39,8;47,53554124
13/01/2020;7751;38,9;47,53554124
20/01/2020;7751;42,5;47,53554124
27/01/2020;7751;42,32;47,53554124
03/02/2020;7751;41,24;47,53554124
10/02/2020;7751;39,88;47,53554124
17/02/2020;7751;41,24;47,53554124
24/02/2020;7751;40,76;47,53554124
02/03/2020;7751;41,3;47,53554124
09/03/2020;7751;40,42;47,53554124
16/03/2020;7751;25,12;47,53554124
23/03/2020;7751;19,6;47,53554124
30/03/2020;7751;18,48;47,53554124
06/04/2020;7751;16,5;40,48504564
13/04/2020;7751;20,42;47,53554124
20/04/2020;7751;20,98;44,01029344
27/04/2020;7751;19,72;44,01029344
04/05/2020;7751;24,44;47,53554124
11/05/2020;7751;24,58;47,53554124
18/05/2020;7751;27,14;47,53554124
25/05/2020;7751;28,12;47,53554124
01/06/2020;7751;26,72;47,53554124
08/06/2020;7751;19,04;40,48504564
15/06/2020;7751;26,2;47,53554124
22/06/2020;7751;26,48;47,53554124
29/06/2020;7751;27,18;47,53554124
06/07/2020;7751;28,3;47,53554124
13/07/2020;7751;27,1;47,53554124
20/07/2020;7751;27,54;47,53554124
27/07/2020;7751;27,36;47,53554124
03/08/2020;7751;26,08;47,53554124
10/08/2020;7751;25,78;44,01029344
17/08/2020;7751;26,46;47,53554124
24/08/2020;7751;31,08;47,53554124
31/08/2020;7751;30,3;47,53554124
07/09/2020;7751;31,38;47,53554124
14/09/2020;7751;30;47,53554124
21/09/2020;7751;30,08;47,53554124
28/09/2020;7751;30,4;47,53554124
05/10/2020;7751;28,64;44,01029344
12/10/2020;7751;30,96;47,53554124
19/10/2020;7751;31,14;47,53554124
26/10/2020;7751;31,14;44,01029344
10/04/2017;7752;28,3;27,605598
17/04/2017;7752;27,18;29,91091204
24/04/2017;7752;30,42;28,11054591
01/05/2017;7752;29,2;28,22778469
08/05/2017;7752;29,52;30,46632773
15/05/2017;7752;29,82;29,78619616
22/05/2017;7752;32,9;29,62425845
29/05/2017;7752;32,64;30,7018745
05/06/2017;7752;32,04;30,84685503
12/06/2017;7752;26,76;29,88731943
19/06/2017;7752;33,3;30,64125608
26/06/2017;7752;31,22;30,39383161
03/07/2017;7752;31,42;31,53510834
10/07/2017;7752;30,64;30,78628095
17/07/2017;7752;30,22;30,6210079
24/07/2017;7752;30,92;30,18581231
31/07/2017;7752;31,58;30,24033203
07/08/2017;7752;30,6;30,71917835
14/08/2017;7752;26,94;29,69579266
21/08/2017;7752;27,96;29,45134575
28/08/2017;7752;29,8;28,4182328
04/09/2017;7752;29,08;29,00960112
11/09/2017;7752;30,38;29,50264138
18/09/2017;7752;30,84;29,62728917
25/09/2017;7752;31,2;30,27775392
02/10/2017;7752;30,24;29,59429141
09/10/2017;7752;31,08;30,71453726
16/10/2017;7752;31,82;30,67828001
23/10/2017;7752;30,72;30,85635812
30/10/2017;7752;29,18;29,82672755
06/11/2017;7752;29,94;30,19666032
13/11/2017;7752;29,98;29,90923215
20/11/2017;7752;30,64;29,8377652
27/11/2017;7752;26,74;29,08402643
04/12/2017;7752;26,08;28,42913795
11/12/2017;7752;27,96;28,05764899
18/12/2017;7752;28,48;28,08237129
25/12/2017;7752;23,74;27,62219322
01/01/2018;7752;28,36;26,65065901
08/01/2018;7752;27,54;27,59819926
15/01/2018;7752;28,18;28,83993222
22/01/2018;7752;27,32;28,3390929
29/01/2018;7752;27,28;28,32029113
05/02/2018;7752;26,74;27,97174558
12/02/2018;7752;23,86;27,78789323
19/02/2018;7752;27,56;26,67771969
26/02/2018;7752;27,46;26,7101638
05/03/2018;7752;30,44;28,11571767
12/03/2018;7752;29,68;29,01431574
19/03/2018;7752;29,58;29,91579317
26/03/2018;7752;33,5;27,67984924
02/04/2018;7752;30,3;31,32080651
09/04/2018;7752;31;32,17032218
16/04/2018;7752;32,68;30,02006452
23/04/2018;7752;30,36;30,39340388
30/04/2018;7752;34,66;30,46988301
07/05/2018;7752;31,34;32,03312138
14/05/2018;7752;33,3;32,48727121
21/05/2018;7752;31,22;31,80960369
28/05/2018;7752;30,48;30,79082362
04/06/2018;7752;32,24;29,96422119
11/06/2018;7752;34,26;30,09024191
18/06/2018;7752;28,82;33,07096626
25/06/2018;7752;33,78;31,63968994
02/07/2018;7752;31;30,57262446
09/07/2018;7752;30,62;31,63627313
16/07/2018;7752;30,06;30,40320948
23/07/2018;7752;29,3;30,21556323
30/07/2018;7752;29,06;29,8322452
06/08/2018;7752;29,84;29,287229
13/08/2018;7752;25,6;28,14772229
20/08/2018;7752;26,5;28,55939322
27/08/2018;7752;27,22;27,60486862
03/09/2018;7752;28,14;27,64393002
10/09/2018;7752;29,46;28,30778513
17/09/2018;7752;30,04;29,11822341
24/09/2018;7752;30,44;29,77932507
01/10/2018;7752;28,76;29,1222093
08/10/2018;7752;29,08;30,00012728
15/10/2018;7752;32,94;29,61335988
22/10/2018;7752;30,88;30,40951522
29/10/2018;7752;28,74;30,23651126
05/11/2018;7752;29,74;30,09139703
12/11/2018;7752;32,98;29,68385483
19/11/2018;7752;28,72;30,79119777
26/11/2018;7752;28,28;29,37628311
03/12/2018;7752;27,54;27,88117343
10/12/2018;7752;27,82;29,10239496
17/12/2018;7752;27,7;28,65599021
24/12/2018;7752;27,12;26,86257119
31/12/2018;7752;25,62;27,60502714
07/01/2019;7752;26,16;28,0559208
14/01/2019;7752;26,4;27,26355554
21/01/2019;7752;27,16;27,12595721
28/01/2019;7752;26,14;27,4541075
04/02/2019;7752;27,66;27,40963582
11/02/2019;7752;26,26;27,16483693
18/02/2019;7752;27,1;27,89408172
25/02/2019;7752;27,4;27,59436935
04/03/2019;7752;26,58;28,20320994
11/03/2019;7752;26,4;27,86687654
18/03/2019;7752;30,22;27,37193451
25/03/2019;7752;27,3;29,22625317
01/04/2019;7752;27,38;28,9904914
08/04/2019;7752;28,38;27,85618115
15/04/2019;7752;27,4;26,71106239
22/04/2019;7752;27,34;28,05398241
29/04/2019;7752;29,9;28,61984178
06/05/2019;7752;31,4;29,39969822
13/05/2019;7752;28,34;30,7437442
20/05/2019;7752;29,6;29,82463091
27/05/2019;7752;30,52;29,05788647
03/06/2019;7752;30,42;30,14874729
10/06/2019;7752;28,5;28,7549267
17/06/2019;7752;28,74;28,68308534
24/06/2019;7752;31,92;30,21295878
01/07/2019;7752;30,96;30,40696403
08/07/2019;7752;32,26;30,79302756
15/07/2019;7752;31;30,90540166
22/07/2019;7752;31,26;30,95027188
29/07/2019;7752;30,2;30,55727621
05/08/2019;7752;31,8;30,48816771
12/08/2019;7752;27,44;29,2240407
19/08/2019;7752;27,88;29,82648113
26/08/2019;7752;26,48;28,54179528
02/09/2019;7752;27,16;28,00288567
09/09/2019;7752;27,4;27,74824399
16/09/2019;7752;29,02;28,06045637
23/09/2019;7752;29,08;28,62776863
30/09/2019;7752;27,96;28,1795625
07/10/2019;7752;27,3;29,06550661
14/10/2019;7752;29,24;29,01213675
21/10/2019;7752;31,5;28,63440444
28/10/2019;7752;28,38;28,88308256
04/11/2019;7752;30,38;30,20902046
11/11/2019;7752;26,7;30,07954215
18/11/2019;7752;27,58;29,7236782
25/11/2019;7752;35,36;28,7048487
02/12/2019;7752;30,76;28,64366774
09/12/2019;7752;30,14;29,4689589
